contig,count.0.3.km,count.0.5.km,count.0.6.km,count.0.7.km,count.0.9.km,count.1.1.km,count.2.7.km,count.10.1.km,count.15.1.km,count.33.9.km,coverage.0.3.km,coverage.0.5.km,coverage.0.6.km,coverage.0.7.km,coverage.0.9.km,coverage.1.1.km,coverage.2.7.km,coverage.10.1.km,coverage.15.1.km,coverage.33.9.km,dataset.order,bin.number,lineage,annotation.1,annotation.2,hypothetical,gene.length,gc.gene,gc.contig,core.gene.percent
bin12;contig-13253-gene-3;Gammaproteobacteria-Cellvibrionales;-;-,2,1,10,4,16,2,1,0,1,0,81.35352113,216.2075117,82.18309859,71.33333333,120.4286385,57.46807512,53.85821596,51.27652582,47.48967136,27.62910798,257,bin12,Gammaproteobacteria-Cellvibrionales,-,-,hypothetical,348,50.9,51.1,13
bin1;contig-13275-gene-3;Gammaproteobacteria-Thiotrichaceae;-;-,1,0,0,16,2,0,11,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,258,bin1,Gammaproteobacteria-Thiotrichaceae,-,-,hypothetical,1458,36.8,36.8,83
bin8;contig-1329-gene-17;Gammaproteobacteria-Cycloclasticus;Acetyl-CoA_acetyltransferase;Beta_oxidation_step_4,1,17,0,0,4,0,2,0,0,0,17.87826639,64.39166783,7.337478507,7.371782254,8.128347729,3.436753822,15.43006671,2.199166241,2.023381141,1.46105091,259,bin8,Gammaproteobacteria-Cycloclasticus,Acetyl-CoA_acetyltransferase,Beta_oxidation_step_4,known,1188,44.5,44.5,50
bin45;contig-13312-gene-1;Bacteroidetes;-;-,1,0,1,1,12,0,6,0,0,0,11.55397049,15.6575296,8.972758325,15.4551387,9.938366356,5.746110586,10.918144,6.876138816,6.678525985,11.62313333,260,bin45,Bacteroidetes,-,-,hypothetical,966,43.9,43.9,93
bin45;contig-13312-gene-3;Bacteroidetes;Matrixin;-,1,3,0,2,15,0,6,0,0,0,11.55397049,15.6575296,8.972758325,15.4551387,9.938366356,5.746110586,10.918144,6.876138816,6.678525985,11.62313333,261,bin45,Bacteroidetes,Matrixin,-,known,1290,44.7,44.7,93
bin45;contig-13312-gene-4;Bacteroidetes;Hemerythrin;-,18,16,1,10,26,0,41,0,0,0,11.55397049,15.6575296,8.972758325,15.4551387,9.938366356,5.746110586,10.918144,6.876138816,6.678525985,11.62313333,262,bin45,Bacteroidetes,Hemerythrin,-,known,411,38.4,38.4,93
bin49;contig-13314-gene-3;Bacteroidetes;-;-,41,2,0,3,1,0,23,0,2,35,3.806199033,19.24132599,1.421683024,4.985926031,4.638508568,0.339374813,3.539673506,0.375338445,0.374977707,0.3915888,263,bin49,Bacteroidetes,-,-,hypothetical,528,48.5,48.5,53
bin22;contig-13316-gene-3;Gammaproteobacteria;Phenylalanyl-tRNA_synthetase_alpha_subunit;-,4,1,1,1,10,1,1,0,1,0,18.0509434,20.41572327,13.26022013,11.44606918,28.63726415,12.7418239,9.297327044,9.460691824,11.72955975,7.818396226,264,bin22,Gammaproteobacteria,Phenylalanyl-tRNA_synthetase_alpha_subunit,-,known,1020,53,53,42
bin1;contig-1335-gene-4;Gammaproteobacteria-Thiotrichaceae;Uroporphyrinogen-III_methylase;-,0,1,0,13,2,0,2,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,265,bin1,Gammaproteobacteria-Thiotrichaceae,Uroporphyrinogen-III_methylase,-,known,1392,36.4,36.4,83
bin1;contig-1335-gene-5;Gammaproteobacteria-Thiotrichaceae;Predicted_redox_protein_regulator_of_disulfide_bond_formation_-_COG0425;-,12,4,0,30,3,0,13,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,266,bin1,Gammaproteobacteria-Thiotrichaceae,Predicted_redox_protein_regulator_of_disulfide_bond_formation_-_COG0425,-,known,231,37.7,37.7,83
bin1;contig-1335-gene-6;Gammaproteobacteria-Thiotrichaceae;Uncharacterized_conserved_protein_-_COG2210;OP:_NADH_dehydrogenase_EC:1.6.99.3,6,9,1,62,3,3,23,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,267,bin1,Gammaproteobacteria-Thiotrichaceae,Uncharacterized_conserved_protein_-_COG2210,OP:_NADH_dehydrogenase_EC:1.6.99.3,known,471,36.1,36.1,83
bin1;contig-1335-gene-7;Gammaproteobacteria-Thiotrichaceae;Acetyl-CoA_acetyltransferase;-,0,3,1,26,4,0,10,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,268,bin1,Gammaproteobacteria-Thiotrichaceae,Acetyl-CoA_acetyltransferase,-,known,1179,38.4,38.4,83
bin1;contig-1335-gene-8;Gammaproteobacteria-Thiotrichaceae;Dehydrogenases_with_different_specificities_(related_to_short-chain_alcohol_dehydrogenases);-,2,6,0,40,5,0,9,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,269,bin1,Gammaproteobacteria-Thiotrichaceae,Dehydrogenases_with_different_specificities_(related_to_short-chain_alcohol_dehydrogenases),-,known,741,40.4,40.4,83
bin21;contig-1339-gene-11;Gammaproteobacteria-Thiotrichales;Rieske_Fe-S_protein;OP:_Cytochrome_bc1_complex_EC:1.10.2.2,1,12,2,0,7,0,6,0,0,0,6.973854447,20.74339623,5.561455526,5.177628032,16.14393531,3.241778976,17.66927224,1.942318059,3.150404313,1.172237197,270,bin21,Gammaproteobacteria-Thiotrichales,Rieske_Fe-S_protein,OP:_Cytochrome_bc1_complex_EC:1.10.2.2,known,594,50.5,50.5,80
bin12;contig-13392-gene-5;Gammaproteobacteria-Cellvibrionales;Response_regulator_containing_a_CheY-like_receiver_domain_and_a_GGDEF_domain;-,10,1,6,1,11,3,3,13,29,5,81.35352113,216.2075117,82.18309859,71.33333333,120.4286385,57.46807512,53.85821596,51.27652582,47.48967136,27.62910798,271,bin12,Gammaproteobacteria-Cellvibrionales,Response_regulator_containing_a_CheY-like_receiver_domain_and_a_GGDEF_domain,-,known,1635,46.8,46.8,13
bin17;contig-13412-gene-2;Gammaproteobacteria;Putative_transcriptional_regulator_homolog_of_Bvg_accessory_factor;-,0,0,0,1,0,2,0,24,3,0,8.739201878,8.510328638,12.72323944,8.150469484,7.250704225,28.78896714,1.957981221,43.91314554,25.96525822,1.134037559,272,bin17,Gammaproteobacteria,Putative_transcriptional_regulator_homolog_of_Bvg_accessory_factor,-,known,747,53.3,53.1,31
bin13;contig-13448-gene-2;Gammaproteobacteria;Acyl-CoA_dehydrogenases;-,5,3,2,3,16,0,4,0,0,0,56.77994792,123.4479167,47.00208333,48.42395833,68.1015625,34.11380208,42.93411458,27.56614583,20.7078125,14.43697917,273,bin13,Gammaproteobacteria,Acyl-CoA_dehydrogenases,-,known,1218,49.9,49.9,14
bin16;contig-1345-gene-1;Gammaproteobacteria;Ribosomal_protein_L17;-,16,5,7,4,5,7,3,2,1,1,16.58930163,25.03580981,17.1320951,32.88618128,25.2179792,9.01218425,13.93580981,4.084546805,5.448736999,3.267013373,274,bin16,Gammaproteobacteria,Ribosomal_protein_L17,-,known,354,48,47.7,38
bin16;contig-1345-gene-11;Gammaproteobacteria;Ribosomal_protein_L6P/L9E;-,11,2,6,7,8,5,0,3,1,1,16.58930163,25.03580981,17.1320951,32.88618128,25.2179792,9.01218425,13.93580981,4.084546805,5.448736999,3.267013373,275,bin16,Gammaproteobacteria,Ribosomal_protein_L6P/L9E,-,known,534,42.1,41.8,38
bin16;contig-1345-gene-12;Gammaproteobacteria;Ribosomal_protein_S8;-,10,3,5,4,14,6,1,3,7,0,16.58930163,25.03580981,17.1320951,32.88618128,25.2179792,9.01218425,13.93580981,4.084546805,5.448736999,3.267013373,276,bin16,Gammaproteobacteria,Ribosomal_protein_S8,-,known,393,43,43.3,38
bin16;contig-1345-gene-13;Gammaproteobacteria;Ribosomal_protein_S14;-,0,2,2,0,10,4,0,0,1,0,16.58930163,25.03580981,17.1320951,32.88618128,25.2179792,9.01218425,13.93580981,4.084546805,5.448736999,3.267013373,277,bin16,Gammaproteobacteria,Ribosomal_protein_S14,-,known,306,47.1,47.7,38
bin16;contig-1345-gene-14;Gammaproteobacteria;Ribosomal_protein_L5;-,10,2,4,9,12,3,2,3,0,1,16.58930163,25.03580981,17.1320951,32.88618128,25.2179792,9.01218425,13.93580981,4.084546805,5.448736999,3.267013373,278,bin16,Gammaproteobacteria,Ribosomal_protein_L5,-,known,540,42.8,42.4,38
bin16;contig-1345-gene-16;Gammaproteobacteria;Ribosomal_protein_L14;-,3,1,4,7,12,0,4,1,1,0,16.58930163,25.03580981,17.1320951,32.88618128,25.2179792,9.01218425,13.93580981,4.084546805,5.448736999,3.267013373,279,bin16,Gammaproteobacteria,Ribosomal_protein_L14,-,known,369,46.3,45.8,38
bin16;contig-1345-gene-19;Gammaproteobacteria;Ribosomal_protein_L16/L10E;-,3,1,2,4,13,1,3,2,0,0,16.58930163,25.03580981,17.1320951,32.88618128,25.2179792,9.01218425,13.93580981,4.084546805,5.448736999,3.267013373,280,bin16,Gammaproteobacteria,Ribosomal_protein_L16/L10E,-,known,414,48.8,48.8,38
bin16;contig-1345-gene-2;Gammaproteobacteria;DNA-directed_RNA_polymerase_alpha_subunit/40_kD_subunit;-,102,16,20,16,34,35,9,14,15,10,16.58930163,25.03580981,17.1320951,32.88618128,25.2179792,9.01218425,13.93580981,4.084546805,5.448736999,3.267013373,281,bin16,Gammaproteobacteria,DNA-directed_RNA_polymerase_alpha_subunit/40_kD_subunit,-,known,1005,44.2,44.3,38
bin16;contig-1345-gene-20;Gammaproteobacteria;Ribosomal_protein_S3;-,37,8,17,6,31,11,4,5,7,0,16.58930163,25.03580981,17.1320951,32.88618128,25.2179792,9.01218425,13.93580981,4.084546805,5.448736999,3.267013373,282,bin16,Gammaproteobacteria,Ribosomal_protein_S3,-,known,687,47.6,47.7,38
bin16;contig-1345-gene-22;Gammaproteobacteria;Ribosomal_protein_S19;-,5,1,3,4,10,9,0,2,4,5,16.58930163,25.03580981,17.1320951,32.88618128,25.2179792,9.01218425,13.93580981,4.084546805,5.448736999,3.267013373,283,bin16,Gammaproteobacteria,Ribosomal_protein_S19,-,known,276,43.8,44.2,38
bin16;contig-1345-gene-23;Gammaproteobacteria;Ribosomal_protein_L2;-,51,17,35,30,70,29,25,16,19,5,16.58930163,25.03580981,17.1320951,32.88618128,25.2179792,9.01218425,13.93580981,4.084546805,5.448736999,3.267013373,284,bin16,Gammaproteobacteria,Ribosomal_protein_L2,-,known,828,47.7,47.6,38
bin16;contig-1345-gene-25;Gammaproteobacteria;Ribosomal_protein_L4;-,11,4,8,23,24,15,5,7,11,3,16.58930163,25.03580981,17.1320951,32.88618128,25.2179792,9.01218425,13.93580981,4.084546805,5.448736999,3.267013373,285,bin16,Gammaproteobacteria,Ribosomal_protein_L4,-,known,603,44.1,43.9,38
bin16;contig-1345-gene-26;Gammaproteobacteria;Ribosomal_protein_L3;-,30,2,20,12,24,44,5,11,26,4,16.58930163,25.03580981,17.1320951,32.88618128,25.2179792,9.01218425,13.93580981,4.084546805,5.448736999,3.267013373,286,bin16,Gammaproteobacteria,Ribosomal_protein_L3,-,known,570,48.6,48.8,38
bin16;contig-1345-gene-3;Gammaproteobacteria;Ribosomal_protein_S4_and_related_proteins;-,9,11,11,14,20,11,8,0,3,1,16.58930163,25.03580981,17.1320951,32.88618128,25.2179792,9.01218425,13.93580981,4.084546805,5.448736999,3.267013373,287,bin16,Gammaproteobacteria,Ribosomal_protein_S4_and_related_proteins,-,known,621,40.9,41.1,38
bin16;contig-1345-gene-4;Gammaproteobacteria;Ribosomal_protein_S11;-,0,0,3,6,12,2,5,0,2,0,16.58930163,25.03580981,17.1320951,32.88618128,25.2179792,9.01218425,13.93580981,4.084546805,5.448736999,3.267013373,288,bin16,Gammaproteobacteria,Ribosomal_protein_S11,-,known,396,46.7,46.7,38
bin16;contig-1345-gene-5;Gammaproteobacteria;Ribosomal_protein_S13;-,5,0,7,9,17,5,5,5,5,0,16.58930163,25.03580981,17.1320951,32.88618128,25.2179792,9.01218425,13.93580981,4.084546805,5.448736999,3.267013373,289,bin16,Gammaproteobacteria,Ribosomal_protein_S13,-,known,357,45.7,45.4,38
bin16;contig-1345-gene-6;Gammaproteobacteria;Preprotein_translocase_subunit_SecY;-,14,3,11,15,30,30,6,20,37,7,16.58930163,25.03580981,17.1320951,32.88618128,25.2179792,9.01218425,13.93580981,4.084546805,5.448736999,3.267013373,290,bin16,Gammaproteobacteria,Preprotein_translocase_subunit_SecY,-,known,1341,44.1,44.1,38
bin1;contig-13469-gene-2;Gammaproteobacteria-Thiotrichaceae;Type_II_secretory_pathway_component_ExeA_(predicted_ATPase)_-_COG3267;-,5,7,1,44,3,2,25,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,291,bin1,Gammaproteobacteria-Thiotrichaceae,Type_II_secretory_pathway_component_ExeA_(predicted_ATPase)_-_COG3267,-,known,1662,34.2,34.2,83
bin17;contig-13488-gene-1;Gammaproteobacteria;Histidine_kinase-_DNA_gyrase_B-_and_HSP90-like_ATPase;-,0,0,0,0,0,0,0,10,5,0,8.739201878,8.510328638,12.72323944,8.150469484,7.250704225,28.78896714,1.957981221,43.91314554,25.96525822,1.134037559,292,bin17,Gammaproteobacteria,Histidine_kinase-_DNA_gyrase_B-_and_HSP90-like_ATPase,-,known,2742,44.2,44.2,31
bin1;contig-13501-gene-4;Gammaproteobacteria-Thiotrichaceae;Uncharacterized_conserved_protein_-_COG1690;-,0,3,1,17,0,1,5,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,293,bin1,Gammaproteobacteria-Thiotrichaceae,Uncharacterized_conserved_protein_-_COG1690,-,known,1695,36.9,36.9,83
bin16;contig-13526-gene-3;Gammaproteobacteria;Response_regulator_containing_a_CheY-like_receiver_domain_and_a_GGDEF_domain;-,0,1,3,2,10,3,0,0,0,0,16.58930163,25.03580981,17.1320951,32.88618128,25.2179792,9.01218425,13.93580981,4.084546805,5.448736999,3.267013373,294,bin16,Gammaproteobacteria,Response_regulator_containing_a_CheY-like_receiver_domain_and_a_GGDEF_domain,-,known,1020,42.9,42.9,38
bin11;contig-13531-gene-1;Gammaproteobacteria-Cellvibrionales;Uncharacterized_NAD(FAD)-dependent_dehydrogenases;-,43,91,6,16,33,1,13,1,0,0,101.3073826,418.6114094,57.84496644,112.9375839,143.0852349,30.55637584,95.27919463,25.54295302,21.8738255,15.02483221,295,bin11,Gammaproteobacteria-Cellvibrionales,Uncharacterized_NAD(FAD)-dependent_dehydrogenases,-,known,771,54.7,54.7,30
bin11;contig-13531-gene-2;Gammaproteobacteria-Cellvibrionales;Cytochrome_P450;-,144,416,12,37,93,2,93,0,1,0,101.3073826,418.6114094,57.84496644,112.9375839,143.0852349,30.55637584,95.27919463,25.54295302,21.8738255,15.02483221,296,bin11,Gammaproteobacteria-Cellvibrionales,Cytochrome_P450,-,known,1278,46.8,46.9,30
bin11;contig-13531-gene-3;Gammaproteobacteria-Cellvibrionales;Cytochrome_c553;-,27,14,6,5,14,0,10,0,2,0,101.3073826,418.6114094,57.84496644,112.9375839,143.0852349,30.55637584,95.27919463,25.54295302,21.8738255,15.02483221,297,bin11,Gammaproteobacteria-Cellvibrionales,Cytochrome_c553,-,known,306,51,51,30
bin12;contig-13548-gene-1;Gammaproteobacteria-Cellvibrionales;Caspase_domain;-,0,0,2,3,3,9,0,10,2,0,81.35352113,216.2075117,82.18309859,71.33333333,120.4286385,57.46807512,53.85821596,51.27652582,47.48967136,27.62910798,298,bin12,Gammaproteobacteria-Cellvibrionales,Caspase_domain,-,known,2157,47.7,47.7,13
bin12;contig-13548-gene-2;Gammaproteobacteria-Cellvibrionales;Autotransporter_beta-domain;-,6,0,9,0,9,32,3,23,12,2,81.35352113,216.2075117,82.18309859,71.33333333,120.4286385,57.46807512,53.85821596,51.27652582,47.48967136,27.62910798,299,bin12,Gammaproteobacteria-Cellvibrionales,Autotransporter_beta-domain,-,known,1455,50.7,50.7,13
bin1;contig-1355-gene-8;Gammaproteobacteria-Thiotrichaceae;Fe-S-cluster-containing_hydrogenase_components_1;-,1,1,0,12,2,0,0,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,300,bin1,Gammaproteobacteria-Thiotrichaceae,Fe-S-cluster-containing_hydrogenase_components_1,-,known,993,39.6,39.6,83
bin1;contig-1355-gene-9;Gammaproteobacteria-Thiotrichaceae;NiFe-hydrogenase_I_small_subunit;-,0,1,0,17,0,0,10,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,301,bin1,Gammaproteobacteria-Thiotrichaceae,NiFe-hydrogenase_I_small_subunit,-,known,1125,42.1,42.2,83
bin32;contig-13579-gene-2;Alphaproteobacteria;Ribosomal_protein_L7/L12;-,11,0,3,1,0,5,3,16,12,2,5.40169814,11.63018265,5.424286489,14.74251366,9.786137746,2.999929375,4.752000785,3.462666614,3.224033878,2.067736437,302,bin32,Alphaproteobacteria,Ribosomal_protein_L7/L12,-,known,369,46.9,46.9,89
bin32;contig-13579-gene-3;Alphaproteobacteria;Ribosomal_protein_L10;-,12,1,3,2,3,4,1,8,7,10,5.40169814,11.63018265,5.424286489,14.74251366,9.786137746,2.999929375,4.752000785,3.462666614,3.224033878,2.067736437,303,bin32,Alphaproteobacteria,Ribosomal_protein_L10,-,known,510,48.2,48.2,89
bin14;contig-13587-gene-3;Gammaproteobacteria-Cellvibrionales;Cytochrome_c553;-,1,1,1,1,14,0,2,0,0,0,22.66167247,29.27665505,15.42439024,25.428223,44.62264808,7.624738676,13.93554007,9.600696864,10.77909408,5.391637631,304,bin14,Gammaproteobacteria-Cellvibrionales,Cytochrome_c553,-,known,651,52.7,52.7,82
bin14;contig-13587-gene-4;Gammaproteobacteria-Cellvibrionales;Protein-disulfide_isomerase;-,1,1,0,1,10,0,1,0,0,0,22.66167247,29.27665505,15.42439024,25.428223,44.62264808,7.624738676,13.93554007,9.600696864,10.77909408,5.391637631,305,bin14,Gammaproteobacteria-Cellvibrionales,Protein-disulfide_isomerase,-,known,660,50.2,50.2,82
bin36;contig-1359-gene-8;Deltaproteobacteria;-;-,0,4,0,11,17,0,0,0,0,0,5.755137836,11.68575878,1.150372166,26.99308376,8.365025643,0.456481,7.208853833,0.186804922,0.244185521,0.250845919,306,bin36,Deltaproteobacteria,-,-,hypothetical,3087,33.5,33.5,88
bin36;contig-1359-gene-9;Deltaproteobacteria;Predicted_glycosyl_hydrolase_-_COG5498;-,1,5,0,11,12,0,0,0,0,0,5.755137836,11.68575878,1.150372166,26.99308376,8.365025643,0.456481,7.208853833,0.186804922,0.244185521,0.250845919,307,bin36,Deltaproteobacteria,Predicted_glycosyl_hydrolase_-_COG5498,-,known,4113,32.7,32.7,88
bin17;contig-13634-gene-4;Gammaproteobacteria;Flavodoxin_reductases_(ferredoxin-NADPH_reductases)_family_1;-,1,0,1,0,0,18,0,20,4,0,8.739201878,8.510328638,12.72323944,8.150469484,7.250704225,28.78896714,1.957981221,43.91314554,25.96525822,1.134037559,308,bin17,Gammaproteobacteria,Flavodoxin_reductases_(ferredoxin-NADPH_reductases)_family_1,-,known,777,49.2,49.2,31
bin17;contig-13655-gene-2;Gammaproteobacteria;3-hydroxyacyl-CoA_dehydrogenase;-,0,0,0,3,2,2,0,23,13,0,8.739201878,8.510328638,12.72323944,8.150469484,7.250704225,28.78896714,1.957981221,43.91314554,25.96525822,1.134037559,309,bin17,Gammaproteobacteria,3-hydroxyacyl-CoA_dehydrogenase,-,known,2187,47.6,47.6,31
bin17;contig-13655-gene-3;Gammaproteobacteria;Predicted_transcriptional_regulators_-_COG1396;-,0,0,0,0,0,0,0,17,1,0,8.739201878,8.510328638,12.72323944,8.150469484,7.250704225,28.78896714,1.957981221,43.91314554,25.96525822,1.134037559,310,bin17,Gammaproteobacteria,Predicted_transcriptional_regulators_-_COG1396,-,known,576,46.9,46.5,31
bin17;contig-13655-gene-4;Gammaproteobacteria;3-oxoacyl-(acyl-carrier-protein)_synthase;-,0,0,0,0,1,0,0,14,4,0,8.739201878,8.510328638,12.72323944,8.150469484,7.250704225,28.78896714,1.957981221,43.91314554,25.96525822,1.134037559,311,bin17,Gammaproteobacteria,3-oxoacyl-(acyl-carrier-protein)_synthase,-,known,651,45.2,45.2,31
bin1;contig-13728-gene-1;Gammaproteobacteria-Thiotrichaceae;Signal_transduction_histidine_kinase;-,1,1,1,18,1,0,1,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,312,bin1,Gammaproteobacteria-Thiotrichaceae,Signal_transduction_histidine_kinase,-,known,3264,28.9,28.9,83
bin33;contig-1378-gene-13;Alphaproteobacteria;-;-,101,0,0,0,0,0,0,0,0,0,3.944201637,1.151815127,0.603161982,22.50680902,0.7294996,0.502903131,0.54479612,0.454083696,0.526178576,0.464635921,313,bin33,Alphaproteobacteria,-,-,hypothetical,450,45.6,45.6,66
bin17;contig-13806-gene-2;Gammaproteobacteria;EAL_domain;-,0,0,0,0,0,2,0,23,23,0,8.739201878,8.510328638,12.72323944,8.150469484,7.250704225,28.78896714,1.957981221,43.91314554,25.96525822,1.134037559,314,bin17,Gammaproteobacteria,EAL_domain,-,known,2076,45.4,45.5,31
bin40;contig-1381-gene-4;Deltaproteobacteria;-;-,4,4,1,7,7,5,1,13,8,6,3.545289855,26.31032609,1.918478261,7.800181159,6.513405797,0.720289855,14.04094203,0.323007246,0.482789855,0.345833333,315,bin40,Deltaproteobacteria,-,-,hypothetical,933,35.2,35.2,34
bin7;contig-13841-gene-6;Gammaproteobacteria-Colwellia;Acyl-CoA_dehydrogenases;Beta_oxidation_step_1,1,1,0,1,10,1,0,2,1,2,15.44551251,46.31566655,18.25419056,27.30076461,44.37321012,13.7656784,16.33658173,19.61135073,27.18083706,30.34738124,316,bin7,Gammaproteobacteria-Colwellia,Acyl-CoA_dehydrogenases,Beta_oxidation_step_1,known,1437,38.8,38.8,57
bin1;contig-13854-gene-1;Gammaproteobacteria-Thiotrichaceae;Predicted_glycosyltransferases_-_COG1216;-,2,0,0,24,3,1,6,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,317,bin1,Gammaproteobacteria-Thiotrichaceae,Predicted_glycosyltransferases_-_COG1216,-,known,975,33.2,33.2,83
bin43;contig-1390-gene-2;Bacteroidetes;ATP-dependent_Zn_proteases;-,1,11,1,11,1,1,0,0,0,0,10.86035014,14.42036705,5.248997666,15.20192186,10.34179858,1.891323222,7.593335046,1.643480065,1.685228362,1.844672905,318,bin43,Bacteroidetes,ATP-dependent_Zn_proteases,-,known,1884,44.3,44.3,69
bin33;contig-13900-gene-3;Alphaproteobacteria;-;-,23,0,0,1,0,0,0,0,0,0,3.944201637,1.151815127,0.603161982,22.50680902,0.7294996,0.502903131,0.54479612,0.454083696,0.526178576,0.464635921,319,bin33,Alphaproteobacteria,-,-,hypothetical,576,40.8,40.6,66
bin43;contig-13911-gene-1;Bacteroidetes;Phosphotransacetylase;-,2,5,0,14,3,0,2,0,0,0,10.86035014,14.42036705,5.248997666,15.20192186,10.34179858,1.891323222,7.593335046,1.643480065,1.685228362,1.844672905,320,bin43,Bacteroidetes,Phosphotransacetylase,-,known,2040,42,42.1,69
bin11;contig-13926-gene-1;Gammaproteobacteria-Cellvibrionales;-;-,11,15,0,6,15,0,8,1,0,0,101.3073826,418.6114094,57.84496644,112.9375839,143.0852349,30.55637584,95.27919463,25.54295302,21.8738255,15.02483221,321,bin11,Gammaproteobacteria-Cellvibrionales,-,-,hypothetical,2715,43.4,43.4,30
bin46;contig-13928-gene-4;Bacteroidetes;-;-,7,8,2,4,22,0,11,0,0,0,14.33440755,13.49324275,13.23555455,13.43549275,9.256828289,6.89634147,4.633554739,7.538547903,6.956319714,3.049561322,322,bin46,Bacteroidetes,-,-,hypothetical,354,44.6,44.6,27
bin1;contig-13950-gene-1;Gammaproteobacteria-Thiotrichaceae;Putative_arginyl-tRNA:protein_arginylyltransferase;-,0,1,0,19,5,0,5,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,323,bin1,Gammaproteobacteria-Thiotrichaceae,Putative_arginyl-tRNA:protein_arginylyltransferase,-,known,690,32.6,32.6,83
bin1;contig-13950-gene-3;Gammaproteobacteria-Thiotrichaceae;DNA_polymerase_III_gamma/tau_subunits;-,0,4,2,37,3,0,19,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,324,bin1,Gammaproteobacteria-Thiotrichaceae,DNA_polymerase_III_gamma/tau_subunits,-,known,1548,34.7,34.7,83
bin16;contig-13956-gene-3;Gammaproteobacteria;DNA-directed_RNA_polymerase_sigma_subunit_(sigma70/sigma32);-,3,5,2,15,11,3,0,0,6,2,16.58930163,25.03580981,17.1320951,32.88618128,25.2179792,9.01218425,13.93580981,4.084546805,5.448736999,3.267013373,325,bin16,Gammaproteobacteria,DNA-directed_RNA_polymerase_sigma_subunit_(sigma70/sigma32),-,known,858,43.2,43.4,38
bin43;contig-140-gene-16;Bacteroidetes;Anaerobic_dehydrogenases_typically_selenocysteine-containing;-,1,3,0,10,0,0,2,0,0,0,10.86035014,14.42036705,5.248997666,15.20192186,10.34179858,1.891323222,7.593335046,1.643480065,1.685228362,1.844672905,326,bin43,Bacteroidetes,Anaerobic_dehydrogenases_typically_selenocysteine-containing,-,known,2211,43.5,43.5,69
bin1;contig-14019-gene-4;Gammaproteobacteria-Thiotrichaceae;RecG-like_helicase;-,1,0,0,13,0,0,3,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,327,bin1,Gammaproteobacteria-Thiotrichaceae,RecG-like_helicase,-,known,2073,34.4,34.4,83
bin1;contig-14024-gene-2;Gammaproteobacteria-Thiotrichaceae;Glyceraldehyde-3-phosphate_dehydrogenase/erythrose-4-phosphate_dehydrogenase;-,22,30,14,133,54,8,71,0,0,0,11.91308339,20.29079661,9.422078628,175.7574156,10.64125527,1.190318499,41.1609167,0.526231729,0.533316141,0.457502705,328,bin1,Gammaproteobacteria-Thiotrichaceae,Glyceraldehyde-3-phosphate_dehydrogenase/erythrose-4-phosphate_dehydrogenase,-,known,1011,36.3,36.5,83
bin11;contig-14031-gene-5;Gammaproteobacteria-Cellvibrionales;Protein_of_unknown_function_(DUF2909);-,6,7,6,1,10,3,4,2,2,0,101.3073826,418.6114094,57.84496644,112.9375839,143.0852349,30.55637584,95.27919463,25.54295302,21.8738255,15.02483221,329,bin11,Gammaproteobacteria-Cellvibrionales,Protein_of_unknown_function_(DUF2909),-,known,264,46.6,46.6,30
